{'name': '蕃茄', 'local': '芙蕾雅全域', 'r_local': '芙蕾雅全域', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/122190650.gif', 'desc': '', 'ext_desc': ''}
{'name': '鸡蛋', 'local': '芙蕾雅法兰域(551.163)索奇亚奇利域(297.361)', 'r_local': '索奇亚奇利村东门(297.361)处', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/1098632294.gif', 'desc': '', 'ext_desc': ''}
{'name': '小麦粉', 'local': '芙蕾雅法兰域(724.235)魔法大学(24.92)miss率极高', 'r_local': '利用蕃茄酱至亚诺曼城换取魔术大学内稻田中央(24.92)', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/192301627.gif', 'desc': '', 'ext_desc': ''}
{'name': '神圣米', 'local': '盖雷布伦森林(178.174)温迪尔平原全域', 'r_local': '盖雷布伦森林(178.174)', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/758339501.gif', 'desc': '', 'ext_desc': ''}
{'name': '葱', 'local': '芙蕾雅伊尔域(660.235)库鲁克斯哥拉尔域', 'r_local': '库鲁克斯哥拉尔域东城门口附近', 'price': '20个36G', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/118770169.gif', 'desc': '', 'ext_desc': ''}
{'name': '牛奶', 'local': '芙蕾雅伊尔域(679.312)魔法大学内的小屋(55.154)里面的(10.10)', 'r_local': '芙蕾雅伊尔域村口(679.312)', 'price': '20个36G', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/3950331960.gif', 'desc': '', 'ext_desc': ''}
{'name': '青椒', 'local': '芙蕾雅伊尔域(590.289)', 'r_local': '芙蕾雅伊尔域(588.289)海贼的宝藏任务后去海贼岛挖', 'price': '20个36G', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/77217765.gif', 'desc': '', 'ext_desc': ''}
{'name': '石鲷鱼', 'local': '坎那贝拉村域(675.387)', 'r_local': '坎那贝拉村域(675.387)', 'price': '20个36G', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/36038847.gif', 'desc': '', 'ext_desc': ''}
{'name': '大豆', 'local': '法兰城遗迹全域', 'r_local': '法兰城遗迹(119.65)', 'price': '20个36G', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/755836971.gif', 'desc': '', 'ext_desc': ''}
{'name': '盐', 'local': '伊尔村北边的海岸(697.334) 亚留特村东边的海岸(720.143) 奇利村北东的沙滩(354.271) 盖雷布伦森林区域', 'r_local': '盖雷布伦森林(183.182) 亚留特村东边的海岸(715.134)索奇亚奇利域(330.390)与牛肉的混点', 'price': '20个41G', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/784970332.gif', 'desc': '', 'ext_desc': ''}
{'name': '酱油', 'local': '山男家的田(501.161) 亚留特村东南的水池旁(624.110)德威特摩顿村域', 'r_local': '芙蕾雅法兰域(501.161)德威特摩顿村域(340.555)', 'price': '20个41G', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/1269117950.gif', 'desc': '', 'ext_desc': ''}
